,sample,sampleType,fishID,site,weight.g,length.cm,gutWeight.g,sex,wild_or_F2,fishType,extractionID,LF1_RF1,RF1_strength,LF1_IR1,IR1_strength,genotype,pcrGenotypeDate,sequencingRun,notes,reads.in,reads.out,derepF,derepR,merged,nochim,prop.retained,chl_abundance,is.neg
KLF_231,KLF_231,gut,231,New Bedford Harbor,4.554,5.6,0.298,F,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,,75008,62354,62183,62164,61569,60889,0.811766744880546,0.0940399743796088,FALSE
KLF_45,KLF_45,gut,45,New Bedford Harbor,2.229,5.8,0.1234,M,wild,New Bedford Harbor wild,45,1,bright,2,bright,het,3/11/21,Run1,,107240,83043,82023,82019,81284,80566,0.751268183513614,0.918377479333714,FALSE
KLF_102,KLF_102,gut,102,Scorton Creek,3.712,5.2,0.155,F,F2,Scorton Creek F2,,1,faint,1,faint,het,8/25/21,Run2,,102358,87572,87451,87435,86934,86259,0.842718693214014,0.0497919057721513,FALSE
KLF_113,KLF_113,gut,113,Scorton Creek,2.384,4.8,0.131,M,F2,Scorton Creek F2,,0,none,1,faint,intact,8/25/21,Run2,,97226,82796,82595,82588,81853,80739,0.830426017731882,0.0156182266314916,FALSE
KLF_20,KLF_20,gut,20,Scorton Creek,5.282,7.6,0.5181,M,wild,Scorton Creek wild,20,0,none,0,none,none,8/24/21,Run1,,93211,72827,72694,72697,71803,71731,0.769555095428651,0.0144707309252624,FALSE
KLF_33,KLF_33,gut,33,Scorton Creek,3.7549,6.9,0.2988,M,wild,Scorton Creek wild,33,0,none,1,faint,intact,3/12/21,Run2,re-sequenced,98905,76870,76653,76671,75531,74591,0.754168141145544,6.70322156828572e-05,FALSE
KLF_200,KLF_200,gut,200,New Bedford Harbor,4.046,5.5,0.224,M,F2,New Bedford Harbor F2,,1,bright,1,bright,het,8/25/21,Run2,,132580,110650,110402,110497,109708,108718,0.82001810227787,0.154638606302544,FALSE
KLF_NBH_water_2,KLF_NBH_water_2,water,NA,New Bedford Harbor,NA,NA,NA,M,water,New Bedford Harbor water,NBH_water_2,NA,,NA,,,,Run1,,163123,132100,127445,127685,122794,114982,0.704879140280647,0.470569306500148,FALSE
KLF_241,KLF_241,gut,241,New Bedford Harbor,2.535,4.8,0.156,F,F2,New Bedford Harbor F2,,1,bright,1,faint,het,8/25/21,Run2,,150709,133046,132673,132947,132126,131371,0.871686495166181,0.0286973532971508,FALSE
KLF_208,KLF_208,gut,208,New Bedford Harbor,6.774,6.9,0.358,M,F2,New Bedford Harbor F2,,1,bright,1,faint,het,8/25/21,Run2,,135243,114046,113795,113716,112540,110963,0.820471299808493,0.0826311473193767,FALSE
